title,artist,first
The Rodney King Song (The L.A. Lottery),Adrienne w/ Roger Heath,1992-03-29
No Spoilers Allowed,Adventure Capitalists,2013-08-10
I Smoke Some Bongs,Adz Nauseam,2015-06-06
Big Ten Inch Record,Aerosmith,1999-08-29
Reefer Head Woman,Aerosmith,1979-11-18
Death To Disko,Africa Korns,1977-12-11
Because I Got High,Afroman,2024-04-20
Will You Help Me Repair My Door,Afroman,2023-01-14
Legitimate Love Song,Afterbirth Monkey,2018-02-17
Christmas Greetings,"Agnetha, Bjorn, & Benny from Abba",1987-12-20
"Any Ice Today, Lady?",Aileen Stanley & Billy Murray,1976-08-22
I'm Gonna Dance With The Guy What Brung Me,Aileen Stanley & Billy Murray,1982-10-24
Maggie,Aileen Stanley & Billy Murray,1980-01-27
Bridget O'Flynn,Aileen Stanley/Billy Murray,1979-09-09
Come Unto Me,Aimee Semple McPherson,1975-06-01
It Ain't Gonna Rain No Mo',Airport Boys,1975-05-04
It Ain't Gonna Rain No More,Airport Boys,1983-01-30
Jack And The Beanstalk,Al  Jazzbo  Collins,1981-07-26
Little Hood Riding Red (Little Red Riding Hood),Al  Jazzbo  Collins,2022-02-05
Little Red Riding Hood,Al  Jazzbo  Collins,1978-10-01
Sam,Al  Jazzbo  Collins,1972-09-17
Three Little Pigs,Al  Jazzbo  Collins,1977-07-24
Wall Street,Al  The Flasher  Fleishman,1987-12-06
The Discovery Of America,Al (Jazzbo) Collins,1997-11-02
What We Need Is More Perambulators,Al & Pete,1980-01-20
Grocery Store,Al Anderson,1987-05-03
Wal I Swan,Al Bernard,1976-01-18
What The Engine Done,Al Bernard,1979-04-01
Who Tied The Can On The Old Dog's Tail?,Al Bernard,1979-03-18
Hang Out The Stars In Indiana,Al Bowlly,1975-11-23
Madison Time - Part 1,Al Brown,2008-06-01
The Madison,Al Brown's Tunetoppers f/ Cookie Brown,1991-04-21
Abstract Art,Al Capp,1977-11-20
Student Protest (MacNamara Incident at Harvard),Al Capp,1977-11-20
I Got The Blues For You,Al Collins,2013-11-09
I Got A Boogey In My Bonnet,Al De Long,1974-02-10
Yo Yo Song,Al De Long,1974-02-10
I've Got A Boogey In My Bonnet,Al DeLong,1982-06-13
Stella Had A Fella In Coachella,Al DeLong,1979-03-11
Pistol Packin' Mama,Al Dexter,1991-04-28
Bar Hotel,Al Dexter & His Troopers,1977-02-20
Pistol Packin' Mama,Al Dexter & His Troopers,1991-05-26
Pistol Packin' Mama,Al Dexter & The Troopers,1973-01-07
Coroner And Knives,Al Duvall,2005-08-21
Smorgasbord Sam,Al Duvall,2004-10-10
Meet The Staff Of MAD,Al Feldstein,1992-07-26
Ryan Lies,Al Flash,2016-08-27
Skoal Man,Al Flash & Jon Ledwith,1988-07-17
"Ah, Leia!",Al Flash & Mick Kahler,2016-01-02
Art Of Smokin' Bowls,Al Flash & Mick Kahler,2015-06-06
Lotto Maniac,Al Fleishman,1989-06-04
Playin' Stoned,Al Fleishman,1987-04-12
Scream And Whine,Al Fleishman,1987-05-10
Sean And Madonna,Al Fleishman,1987-08-16
Wall Street,Al Fleishman,1987-11-08
Scream And Whine,Al Fleishman  The Flasher,1987-04-05
Attack Iraq,Al Fleishman (The Flasher),1991-02-24
Too Busy Watching Geraldo On TV,Al Fleishman & Jon Ledwith,1989-03-12
50 Ways To Love Your Lover,Al Fleishman & Mick Kahler,2015-02-28
I Thought I'd Die,Al Herman,1977-10-30
Don't Fight The Sea,Al Jardine,2010-07-24
April Showers,Al Jolson,1978-04-16
Asleep In The Deep,Al Jolson,1979-05-06
Avalon,Al Jolson,1980-08-03
"California, Here I Come",Al Jolson,1982-11-07
Golden Gate,Al Jolson,1974-07-07
Home In Pasadena,Al Jolson,1993-11-16
I'll Stand Beneath Your Window Tonight And Whistle,Al Jolson,1977-07-03
Mr. Radio Man,Al Jolson,1985-05-26
My Mammy,Al Jolson,1986-05-11
One Sweet Kiss,Al Jolson,1993-11-16
Pasadena,Al Jolson,1982-03-07
Pretty Baby,Al Jolson,2014-10-04
Ragging The Baby To Sleep,Al Jolson,1980-06-08
Rum Tum Tiddle,Al Jolson,1985-05-26
Sonny Boy,Al Jolson,1974-07-21
Swanee,Al Jolson,1977-10-23
The Spaniard That Blighted My Life,Al Jolson,1976-02-29
There's A Rainbow 'Round My Shoulder,Al Jolson,1984-07-15
Toot Toot Tootsie (Goodbye),Al Jolson,1985-05-26
"Trailer/Blue Skies, My Mammy",Al Jolson,1977-10-02
When The Red Red Robin Comes Bob Bob Bobbin' Along,Al Jolson,1983-08-14
Where Did Robinson Crusoe Go With Friday On A Saturday Night,Al Jolson,1975-04-20
Where Did Robinson Crusoe Go With Friday On Saturday Night?,Al Jolson,1986-06-01
Where Did Robinson Crusoe Go?,Al Jolson,1979-04-08
Yaaka Hula Hickey Dula,Al Jolson,2014-04-26
My Mammy,Al Jolson w/ Abe Lyman's California Orchestra,1975-05-11
April Showers,Al Jolson w/ Guy Lombardo,1976-04-04
Home In Pasadena,Al Jolson w/ Isham Jones Orchestra,2025-05-10
Mr. Radio Man,Al Jolson w/ Isham Jones' Orchestra,1984-08-26
My Blushin' Rosie,Al Jolson/Bing Crosby,1978-11-26
The Spaniard That Blighted My Life,Al Jolson/Bing Crosby,1976-02-01
Rockabye Your Baby With A Dixie Melody,Al Jolson/Guy Lombardo,1975-11-30
My Wife Is On A Diet,Al Katz & band,1976-10-10
Hawaiian War Chant,Al Kialoha Perry & The Singing Surf Riders,1972-07-30
Frankfurter Sandwiches,Al Lentz,1981-05-17
Frankfurter Sandiwches,Al Lentz & His Orchestra,1977-11-27
Frankfurter Sandwiches,Al Lentz & His Orchestra,1974-07-28
Two Crullers,Al Mathews,1986-11-30
We Don't Need Another Cola,Al Matthews,1985-10-13
Tourist Rap,Al Matthews & Jon St. John,1985-09-01
My Granpappy Don' Smoke No Grass,Al Roberts Jr,1998-01-25
My Gran'pappy Don't Smoke No Grass,Al Roberts Jr.,1998-05-10
Green Gator Ater,Al Sims,2024-05-18
Annie's Answer,Al Smith Combo,1983-02-06
Annie's Answer,Al Smith Combo w/ Hazel McCollum & The El Dorados,1983-01-16
Mondo Sinistro,Al Stewart,1980-08-31
The Night That The Band Got The Wine,Al Stewart,2023-07-29
I Wuv A Wabbit,Al Trace,1993-02-14
The Antelope And The Lion,Al Trace,1982-03-14
The Lion And The Antelope,Al Trace,2024-05-18
A Half Fast Waltz,Al Trace & His Orchestra w/ Lola Ameche & Bill Snary,2011-01-15
I Wuv A Wabbit,Al Trace & His Silly Symphonists,1993-02-28
I Wuv A Wabbit,Al Trace & Silly Symphonists,1974-09-01
A Half Fast Waltz,Al Trace/Lola Ameche-Bill Snary,1974-09-22
My Bologna,Al Yankovic,1979-09-30
Al's Band,Al's Band,2009-12-27
Who Stole The Lock,Alabama Washboard Stompers,1979-11-11
Every Day Is Brenda Day,"Alan Anderson, Nick Scott & Rump",1993-10-24
Folk Music,Alan Andrews,2000-06-18
I Like You,Alan Arkin,2018-02-10
Telegram,Alan Bennett,1977-04-03
Initial Rap,Alan Bernhoft,1992-06-07
Christmas Bunny,Alan Boyd,2012-12-22
Reefer Madness,Alan Cumming,2012-03-10
The Space Man,"Alan Freed, Steve Allen, Al  Jazzbo  Collins, & The Modernaires w/ George Cates & The Out Of Spacers",2007-03-11
Dueling Rappers,Alan Gary & Scott Free,1998-08-23
Dueling Rappettes,Alan Gary & Scott Free f/ Fabrina Brazzi,1990-06-24
The 90's Song,Alan Gordon,2024-04-06
The Talkin' Song Repair Blues,Alan Jackson,2004-10-17
Who'd You Do The Ju-Ju To?,Alan Kirk,1981-06-28
Three Coins In The Sewer,Alan Klein,2023-07-15
Thank God I'm A Jewish Boy,Alan Lieberman,1991-06-23
Computer Girl,Alan Mark,1981-08-02
B-Side,Alan O'Day,2024-09-07
Skinny Girls,Alan O'Day,1999-06-13
Your Song Sucks,Alan O'Day,2013-05-25
Long John,Alan Parker,1979-06-24
Dino The Dinosaur's Christmas Tree,Alan Reed,2020-12-05
All By Myself (Without No Ape),Alan Seidler,1975-04-06
D-O-A-P,Alan Seidler,1983-04-10
Duke Of Ook,Alan Seidler,1979-02-25
Fash,Alan Seidler,1975-06-22
Old Vitoville Blues,Alan Seidler,1975-04-06
Once It Was Herbibiwis,Alan Seidler,1978-07-09
Oozin' Cyst Blues,Alan Seidler,1980-01-13
Oozing Cyst Blues,Alan Seidler,1975-04-06
Piano Quartet (first movement),Alan Seidler,2019-11-16
The Once-It-Was-Herbibiwis-But-Now-It's-Anemic Rag,Alan Seidler,1975-04-06
Puv Hooves,Alan Seidler [stopped near end then resumed],1975-04-06
Duke Of Ook,Alan Siedler,1975-04-06
Slime And Dial,Alan Weckler,1982-09-05
Mountain Spastic,Alan Wolfson,1978-09-24
Movin' Up,Alana Thompson,2015-10-10
An Albert Brooks Christmas,Albert Brooks,1980-12-14
Love Song,Albert Brooks,1999-02-14
Phone Call To Americans,Albert Brooks,1975-07-20
Rewriting Our National Anthem,Albert Brooks,1981-11-29
Rewriting The National Anthem,Albert Brooks,1999-07-04
The Englishman-German-Jew Blues,Albert Brooks,1975-06-29
A Dadddy's Christmas,Albert Brooks & Little Kristi,1991-12-22
Englishman/German/Jew Blues,Albert Brooks f/ Albert King,1991-04-07
The Englishman-German-Jew Blues,Albert Brooks w/ Albert King,1991-04-07
A Daddy's Christmas,Albert Brooks w/ Little Kristi,1983-12-25
An Albert Brooks Christmas,Albert Brooks w/ Little Kristi,1980-12-21
Freeze,Albert Collins,1985-05-05
I Ain't Drunk,Albert Collins,2021-06-05
Meet The Staff Of MAD,"Albert Feldstein, etc.",1992-06-07
The Old Sow,Albert Richardson,1982-01-17
The Old Sow Song,Albert Richardson,1982-01-03
Scrooge Is Awakening,Albert Whelan,1989-12-24
I Like Gurls,Albert y Los Trios Paranoias,1976-07-18
I Like Gurls,Alberto & Los Trios Paranoias,1976-11-21
Old Trust,Alberto y Los Trios Paranoias,1979-02-11
I Like Gurls,Alberto y Los Trios Paranoias [starts over end of above],1976-10-17
I Like Gurls,Alberto y Lost Trios Paranoias,1977-09-25
Old Trust,Alberto y Lost Trios Paranoias,1979-01-28
Total Nudity,Alec Somerville,1978-06-04
100 Millimeter Blues,Alec Sommerville,1978-05-07
Short Unattractive Sounding Word,Alec Sommerville,1978-05-07
The Camel,Alec Sommerville,1978-05-07
Total Nudity,Alec Sommerville,1979-01-28
A Trip Through A Musical Conservatory,Alec Templeton,2019-05-04
Man With New Radio,Alec Templeton,1979-02-25
"Phonograph Record, Player Piano And Carmen Lombardo",Alec Templeton,1976-06-13
The Shortest Wagnerian Opera,Alec Templeton,2019-05-04
Three Little Fishies,Alec Templeton,1974-04-07
Ave Maria,Alessandro Moreschi,1983-09-18
The Last Saskatchewan Pirate,Alestorm,2025-09-27
It Must Be Swell To Be Laying Out Dead,Alex Bartha & His Hotel Traymore Orchestra,2014-10-18
Darth Vader,Alex Bennett,1980-08-03
Relatively Merry,Alex Castle,2014-12-20
Lost My Job,Alex Chilton,1992-08-23
The Pact,Alex Elias & Ron Leibman,1989-03-19
Burn Your Bra,Alex Houston & Elmer,1978-07-09
In The Springtime So Sweet,"Alex Kasper from Tinton Falls, NJ",1988-07-24
Don't Eat Your Brother,Alex McFee,1976-07-25
School Bell Hell,Alex McFee,1976-09-19
Bang Bang Lulu,Alex Tyrell,1973-12-24
Chiggers,Alex Whitmore,2024-06-22
The Steel Foundry,Alexander Vasiliovich Musseloff,1996-09-01
Ullo John! Gotta New Motor?,Alexei Sayle,2015-09-19
Beans,"Alexis Nadeau, Ethan Nadeau & Jace Bray",2022-06-25
The Simpsons Halloween Special End Credits Theme ( The Addams Family  Homage),Alf Clausen,2010-10-30
I'm In The Mood For Love,Alfalfa,1983-01-16
Glad Bag,Alferd Packer Memorial String Band,1987-05-10
The Trouble With Harry,Alfi & Harry,1989-07-16
Lovely Hula Hands,Alfred Apaka,1979-09-02
Princess Pupule,Alfred Apaka,1977-04-17
Oklahoma!,Alfred Drake,1975-11-23
It's A Gas,Alfred E. Neuman,1999-03-28
Nose Job,Alfred E. Neuman,1973-01-21
"What, Me Worry",Alfred E. Neuman,1980-05-18
"What, Me Worry",Alfred E. Neuman & His Furschluggener Five,1974-02-03
What Me Worry,Alfred E. Neuman & His Furschlugginer Five,1976-10-17
